Title,Worldwide Gross,Production Budget,Release Year,Content Rating,Running Time,Genre,Creative Type,Rotten Tomatoes Rating,IMDB Rating
Death Race,72516819,65000000,2008,R,105,Action,Science Fiction,41,6.6
The House Bunny,70237389,25000000,2008,PG-13,98,Comedy,Contemporary Fiction,39,5.5
Babylon A.D.,70216497,45000000,2008,PG-13,100,Action,Science Fiction,7,5.3
Disaster Movie,34690901,20000000,2008,PG-13,88,Comedy,Contemporary Fiction,2,1.7
Bangkok Dangerous,46598133,45000000,2008,R,98,Action,Contemporary Fiction,9,5.4
Righteous Kill,76781410,60000000,2008,R,100,Thriller,Contemporary Fiction,20,6
Ghost Town,26612350,20000000,2008,PG-13,102,Romantic Comedy,Fantasy,85,4.7
Lakeview Terrace,44263506,20000000,2008,PG-13,106,Thriller,Contemporary Fiction,46,6.3
My Best Friend's Girl,34787111,20000000,2008,R,103,Comedy,Contemporary Fiction,15,5.8
Eagle Eye,178066569,80000000,2008,PG-13,117,Thriller,Contemporary Fiction,27,6.6
Fireproof,33451479,500000,2008,PG,122,Drama,Contemporary Fiction,40,5.6
Religulous,13136074,2500000,2008,R,101,Documentary,Factual,69,7.8
An American Carol,7013191,20000000,2008,PG-13,84,Comedy,Fantasy,12,4.5
Nick and Norah's Infinite Playlist,31487293,10000000,2008,PG-13,90,Drama,Contemporary Fiction,73,6.8
Rachel Getting Married,13326280,12000000,2008,R,111,Drama,Contemporary Fiction,86,6.9
Body of Lies,108394666,67500000,2008,R,129,Thriller,Contemporary Fiction,52,7.2
City of Ember,11817059,38000000,2008,PG,94,Adventure,Fantasy,53,6.4
Zack and Miri Make a Porno,36851125,24000000,2008,R,101,Comedy,Contemporary Fiction,65,7
Slumdog Millionaire,365257315,14000000,2008,R,116,Drama,Contemporary Fiction,94,8.3
Twilight,396439854,37000000,2008,PG-13,120,Drama,Fantasy,50,6.1
Frost/Nixon,28144586,29000000,2008,R,122,Drama,Dramatization,92,7.9
The Reader,106107610,33000000,2008,R,123,Drama,Contemporary Fiction,61,7.7
The Wrestler,43236603,6000000,2008,R,109,Drama,Contemporary Fiction,98,8.2
The Tale of Despereaux,88717945,60000000,2008,G,93,Adventure,Kids Fiction,55,6.1
Yes Man,225990976,50000000,2008,PG-13,104,Comedy,Contemporary Fiction,43,7
The Curious Case of Benjamin Button,329809326,160000000,2008,PG-13,167,Drama,Fantasy,72,8
Valkyrie,198686497,75000000,2008,PG-13,120,Thriller,Dramatization,61,7.3
Paul Blart: Mall Cop,180449670,26000000,2009,PG,91,Comedy,Contemporary Fiction,35,5.3
Inkheart,58051454,60000000,2009,PG,105,Adventure,Fantasy,40,6.1
Knowing,187858642,50000000,2009,PG-13,121,Thriller,Contemporary Fiction,32,6.4
12 Rounds,18184083,20000000,2009,PG-13,108,Action,Contemporary Fiction,28,5.4
Monsters vs. Aliens,381687380,175000000,2009,PG,95,Adventure,Fantasy,72,6.8
State of Play,91445389,60000000,2009,PG-13,127,Thriller,Contemporary Fiction,84,7.3
Dance Flick,32092761,25000000,2009,PG-13,83,Comedy,Contemporary Fiction,17,3.4
Drag Me To Hell,85724728,30000000,2009,PG-13,99,Horror,Fantasy,92,7.1
Up,731304609,175000000,2009,PG,96,Adventure,Kids Fiction,98,8.4
Away We Go,10108016,21000000,2009,R,98,Comedy,Contemporary Fiction,66,7.3
The Hangover,465132119,35000000,2009,R,99,Comedy,Contemporary Fiction,78,7.9
Land of the Lost,69548641,100000000,2009,PG-13,101,Comedy,Fantasy,26,5.3
Imagine That,16123323,55000000,2009,PG,107,Comedy,Contemporary Fiction,38,5.4
The Proposal,317358031,40000000,2009,PG-13,107,Romantic Comedy,Contemporary Fiction,43,5.4
Year One,57604723,60000000,2009,PG-13,97,Comedy,Historical Fiction,14,5
Transformers: Revenge of the Fallen,836303693,210000000,2009,PG-13,149,Action,Science Fiction,20,6
My Sister's Keeper,89053995,27500000,2009,PG-13,108,Drama,Contemporary Fiction,48,7.4
Harry Potter and the Half-Blood Prince,937499905,250000000,2009,PG,153,Adventure,Fantasy,83,7.3
District 9,206552113,30000000,2009,R,111,Thriller,Science Fiction,91,8.3
Inglourious Basterds,320389438,70000000,2009,R,152,Action,Historical Fiction,88,8.4
Taking Woodstock,10061080,29000000,2009,R,120,Drama,Dramatization,48,6.8
Cloudy with a Chance of Meatballs,139525862,100000000,2009,PG,90,Comedy,Kids Fiction,86,7.2
Paranormal Activity,193770453,15000,2009,R,85,Horror,Contemporary Fiction,82,6.7
Surrogates,119668350,80000000,2009,PG-13,104,Action,Science Fiction,39,6.3
Zombieland,98690286,23600000,2009,R,87,Comedy,Fantasy,89,7.8
Couples Retreat,172450423,60000000,2009,PG-13,113,Comedy,Contemporary Fiction,12,5.5
The Damned United,4054204,6400000,2009,R,97,Drama,Dramatization,94,7.5
Law Abiding Citizen,113190972,53000000,2009,R,108,Thriller,Contemporary Fiction,25,7.2
Where the Wild Things Are,99123656,100000000,2009,PG,100,Adventure,Fantasy,73,7.2
Saw VI,61259697,11000000,2009,R,91,Horror,Contemporary Fiction,42,6.2
The Men Who Stare at Goats,67348218,24000000,2009,R,93,Black Comedy,Contemporary Fiction,53,6.4
2012,766812167,200000000,2009,PG-13,158,Action,Science Fiction,39,6.2
Me and Orson Welles,1190003,25000000,2009,PG-13,107,Drama,Historical Fiction,84,7.1
The Imaginarium of Doctor Parnassus,58692979,30000000,2009,PG-13,122,Adventure,Fantasy,64,7.1
The City of Your Final Destination,493296,8300000,2010,PG-13,114,Drama,Contemporary Fiction,40,6.6
Robin Hood,310885538,210000000,2010,PG-13,140,Action,Historical Fiction,43,6.9
Inception,753830280,160000000,2010,PG-13,147,Thriller,Science Fiction,87,9.1
Scott Pilgrim vs. The World,43149143,85000000,2010,PG-13,112,Comedy,Contemporary Fiction,81,8.1
The Town,33180607,37000000,2010,R,123,Drama,Contemporary Fiction,84,8.7
