Name,Sex,Age,Country,Sport,Year,Bronze Medal,Gold Medal,Silver Medal,Total Medal
Cecilie Leganger,F,25,Norway,Handball,2000,1,0,0,1
Long Qingquan,M,25,China,Weightlifting,2016,0,1,0,1
Rune Christian Bckman,M,25,Sweden,Ice Hockey,2006,0,1,0,1
Mariya Viktorovna Korolyova,F,25,Russia,Water Polo,2000,1,0,0,1
Svenja Anette Huth,F,25,Germany,Football,2016,0,1,0,1
Logi Eldon Geirsson,M,25,Iceland,Handball,2008,0,0,1,1
Laurie Baker (-Mutch),F,25,United States,Ice Hockey,2002,0,0,1,1
Lauritz Schoof,M,25,Germany,Rowing,2016,0,1,0,1
Brittney Yevette Griner,F,25,United States,Basketball,2016,0,1,0,1
Emma Jane Pooley,F,25,Great Britain,Cycling,2008,0,0,1,1
Lin Yue,M,25,China,Diving,2016,0,1,0,1
Emma Jane Coburn,F,25,United States,Athletics,2016,1,0,0,1
Beatrice Nicoleta Coad-Claru,F,25,Romania,Swimming,2000,1,0,1,2
Saho Harada,F,25,Japan,Synchronized Swimming,2008,1,0,0,1
Sakari Jalmari Salminen,M,25,Finland,Ice Hockey,2014,1,0,0,1
Eva Calvo Gmez,F,25,Spain,Taekwondo,2016,0,0,1,1
Linden Wiesman,F,25,United States,Equestrianism,2000,1,0,0,1
Lee Jae-Jin,M,25,South Korea-1,Badminton,2008,1,0,0,1
Khasan Makharbekovich Baroyev,M,25,Russia,Wrestling,2008,0,0,1,1
Sada Molly Jacobson (-Bby),F,25,United States,Fencing,2008,1,0,1,2
Caleb Paine,M,25,United States,Sailing,2016,1,0,0,1
Manuela Mucke,F,25,Germany,Canoeing,2000,0,1,0,1
Beatrix Balogh (-Csata),F,25,Hungary,Handball,2000,0,0,1,1
Sofya Albertovna Ochigava,F,25,Russia,Boxing,2012,0,0,1,1
Sultan-Akhmed Magomedsalikhovich Ibragimov,M,25,Russia,Boxing,2000,0,0,1,1
Cai Zelin,M,25,China,Athletics,2016,0,0,1,1
Elvan Abeylegesse,F,25,Turkey,Athletics,2008,0,0,1,1
Soner Demirta,M,25,Turkey,Wrestling,2016,1,0,0,1
Eleftherios Petrounias,M,25,Greece,Gymnastics,2016,0,1,0,1
Reda Abdalaati Iguider,M,25,Morocco,Athletics,2012,1,0,0,1
Sally McLellan-Pearson,F,25,Australia,Athletics,2012,0,1,0,1
Emin hmdov,M,25,Azerbaijan,Wrestling,2012,1,0,0,1
Kianoush Rostami,M,25,Iran,Weightlifting,2016,0,1,0,1
Solenne Nadge Figus (-Saint Marie),F,25,France,Swimming,2004,1,0,0,1
"Khuloud ""Loudy"" Tourky-Wiggins",F,25,Australia,Diving,2004,1,0,0,1
Son Min-Han,M,25,South Korea,Baseball,2000,1,0,0,1
Lindsey Caroline Kildow-Vonn,F,25,United States,Alpine Skiing,2010,1,1,0,2
Kristina Vogel,F,25,Germany,Cycling,2016,1,1,0,2
Ashley Tara Tappin (-Doussan),F,25,United States,Swimming,2000,0,2,0,2
Lee Byeong-Gyu,M,25,South Korea,Baseball,2000,1,0,0,1
Slobodan Bokan,M,25,Serbia and Montenegro,Volleyball,2000,0,1,0,1
"Francisco ""Quico"" Corts Juncosa",M,25,Spain,Hockey,2008,0,0,1,1
Ethan Mitchell,M,25,New Zealand,Cycling,2016,0,0,1,1
Bartosz Mariusz Piasecki,M,25,Norway,Fencing,2012,0,0,1,1
Ester Aperecida dos Santos,F,25,Brazil,Football,2008,0,0,1,1
Francis Obiorah Obikwelu,M,25,Portugal,Athletics,2004,0,0,1,1
Kerstin Thiele,F,25,Germany,Judo,2012,0,0,1,1
Kerttu Elina Niskanen,F,25,Finland,CrossCountry Skiing,2014,0,0,2,2
Lisa Schmidla,F,25,Germany,Rowing,2016,0,1,0,1
Marion Laborde,F,25,France,Basketball,2012,0,0,1,1
Asha Solette Philip,F,25,Great Britain,Athletics,2016,1,0,0,1
Regla Radameris Torres Herrera,F,25,Cuba,Volleyball,2000,0,1,0,1
Ryunosuke Haga,M,25,Japan,Judo,2016,1,0,0,1
Elmar Qasmov,M,25,Azerbaijan,Judo,2016,0,0,1,1
Mireia Belmonte Garca,F,25,Spain,Swimming,2016,1,1,0,2
Hannes Ocik,M,25,Germany,Rowing,2016,0,0,1,1
Hannes Peckolt,M,25,Germany,Sailing,2008,1,0,0,1
"Welissa ""Sass"" de Souza Gonzaga",F,25,Brazil,Volleyball,2008,0,1,0,1
Milo uk,M,25,Serbia,Water Polo,2016,0,1,0,1
Wayne Daniel Ough,M,25,Australia,Baseball,2004,0,0,1,1
Hanna Heorhivna Kalinina,F,25,Ukraine,Sailing,2004,0,0,1,1
Olga Aleksandrovna Brusnikina,F,25,Russia,Synchronized Swimming,2004,0,1,0,1
Olesya Aleksandrovna Krasnomovets (-Forsheva),F,25,Russia,Athletics,2004,0,0,1,1
Jang Jae-Seong,M,25,South Korea,Wrestling,2000,1,0,0,1
Olga Gennadyevna Vilukhina,F,25,Russia,Biathlon,2014,0,0,2,2
Jang Won-Sam,M,25,South Korea,Baseball,2008,0,1,0,1
Cristian Malmagro Viaa,M,25,Spain,Handball,2008,1,0,0,1
Jayson Truett Edward Nix,M,25,United States,Baseball,2008,1,0,0,1
"Jazmin Roxy ""Jazz"" Carlin",F,25,Great Britain,Swimming,2016,0,0,2,2
Walter Ray Allen,M,25,United States,Basketball,2000,0,1,0,1
Wang Bingyu,F,25,China,Curling,2010,1,0,0,1
Haley Lyn Irwin,F,25,Canada,Ice Hockey,2014,0,1,0,1
Walter Herrmann,M,25,Argentina,Basketball,2004,0,1,0,1
Haley Cope (-Clark),F,25,United States,Swimming,2004,0,0,1,1
Alexandra Popp,F,25,Germany,Football,2016,0,1,0,1
Olivier Jean,M,25,Canada,Short Track Speed Skating,2010,0,1,0,1
Milad Beigi Hareqani,M,25,Azerbaijan,Taekwondo,2016,1,0,0,1
Milena Rai,F,25,Serbia,Volleyball,2016,0,0,1,1
Wang Zheng,M,25,China,Shooting,2004,1,0,0,1
Olha Hennadivna Kharlan,F,25,Ukraine,Fencing,2016,1,0,1,2
Alexander Frederick Yorke Scarlett,M,25,Great Britain,Rowing,2000,0,1,0,1
Oliver William Lindsay-Hague,M,25,Great Britain,Rugby Sevens,2016,0,0,1,1
Olivia Alma Charlotta Schough,F,25,Sweden,Football,2016,0,0,1,1
Jason Nicholas Rogers,M,25,United States,Fencing,2008,0,0,1,1
Olivia Frances Carnegie-Brown,F,25,Great Britain,Rowing,2016,0,0,1,1
Alexander Kristoff,M,25,Norway,Cycling,2012,1,0,0,1
Javier Alberto Conte,M,25,Argentina,Sailing,2000,1,0,0,1
"Alexander Michael ""Alex"" Naddour",M,25,United States,Gymnastics,2016,1,0,0,1
Hamilton Sabot,M,25,France,Gymnastics,2012,1,0,0,1
Jana Teschke,F,25,Germany,Hockey,2016,1,0,0,1
Will Crothers,M,25,Canada,Rowing,2012,0,0,1,1
James Magnussen,M,25,Australia,Swimming,2016,1,0,0,1
Jan-Willem Gabrils,M,25,Netherlands,Rowing,2004,0,0,1,1
James Marburg,M,25,Australia,Rowing,2008,0,0,1,1
James Roberts,M,25,Australia,Swimming,2016,1,0,0,1
James Christian Foad,M,25,Great Britain,Rowing,2012,1,0,0,1
James Davies,M,25,Great Britain,Rugby Sevens,2016,0,0,1,1
James Thompson,M,25,South Africa,Rowing,2012,0,1,0,1
"Oleh Fedorovych ""Oleg"" Tverdovsky",M,25,Russia,Ice Hockey,2002,1,0,0,1
Aleksey Anatolyevich Volkov,M,25,Russia,Biathlon,2014,0,1,0,1
Jan Philipp Rabente,M,25,Germany,Hockey,2012,0,1,0,1
Csar Augusto Cielo Filho,M,25,Brazil,Swimming,2012,1,0,0,1
Mirka Francia Vasconcelos,F,25,Cuba,Volleyball,2000,0,1,0,1
Aleksey Vladimirovich Dyachenko,M,25,Russia,Fencing,2004,1,0,0,1
Jan Schfer,M,25,Germany,Canoeing,2000,0,0,1,1
Aleksey Vladimirovich Mishin,M,25,Russia,Wrestling,2004,0,1,0,1
Aleksey Vladimirovich Svirin,M,25,Russia,Rowing,2004,0,1,0,1
Aleksey Yuryevich Glushkov,M,25,Russia,Wrestling,2000,1,0,0,1
"William Bundu ""Will"" Claye",M,25,United States,Athletics,2016,0,0,1,1
Oleksandr Oleksandrovych Usik,M,25,Ukraine,Boxing,2012,0,1,0,1
Jan Hauser,M,25,Switzerland,Curling,2010,1,0,0,1
"William Ashley ""Bill"" Kirby",M,25,Australia,Swimming,2000,0,1,0,1
Oleksandr Serhiyovych Hvozdyk,M,25,Ukraine,Boxing,2012,1,0,0,1
Jiang Cuihua,F,25,China,Cycling,2000,1,0,0,1
Alison Cox,F,25,United States,Rowing,2004,0,0,1,1
Ji Seong-Hwan,M,25,South Korea,Hockey,2000,0,0,1,1
Alise Rose Post,F,25,United States,Cycling,2016,0,0,1,1
Jiang Tingting,F,25,China,Synchronized Swimming,2012,0,0,1,1
Jiang Wenwen,F,25,China,Synchronized Swimming,2012,0,0,1,1
Jill Bakken (-Linder),F,25,United States-2,Bobsleigh,2002,0,1,0,1
Alla Ivanovna Vazhenina,F,25,Kazakhstan,Weightlifting,2008,0,0,1,1
Pak Chol-Min,M,25,North Korea,Judo,2008,1,0,0,1
Vladimer Khinchegashvili,M,25,Georgia,Wrestling,2016,0,1,0,1
Michele Antonioli,M,25,Italy,Short Track Speed Skating,2002,0,0,1,1
Jesse Mahieu,M,25,Netherlands,Hockey,2004,0,0,1,1
Jessica Adele Hardy (-Meichtry),F,25,United States,Swimming,2012,1,1,0,2
Jessica Marie Steffens,F,25,United States,Water Polo,2012,0,1,0,1
Gunnar Bahr,M,25,Germany,Sailing,2000,0,0,1,1
Clemens Arnold,M,25,Germany,Hockey,2004,1,0,0,1
Jevgijs Saproenko,M,25,Latvia,Gymnastics,2004,0,0,1,1
Joel Carroll,M,25,Australia,Hockey,2012,1,0,0,1
Jocelyne Dawn Marie Larocque,F,25,Canada,Ice Hockey,2014,0,1,0,1
Jochem Simon Uytdehaage,M,25,Netherlands,Speed Skating,2002,0,2,1,3
Park Seong-Hyeon,F,25,South Korea,Archery,2008,0,1,1,2
Michael L. McDonald,M,25,Jamaica,Athletics,2000,0,0,1,1
Amanda Elmore,F,25,United States,Rowing,2016,0,1,0,1
Michael Jurack,M,25,Germany,Judo,2004,1,0,0,1
Dmitry Vyacheslavovich Klokov,M,25,Russia,Weightlifting,2008,0,0,1,1
Johan Charlie Sjstrand,M,25,Sweden,Handball,2012,0,0,1,1
Amanda Maria Kurtovic,F,25,Norway,Handball,2016,1,0,0,1
Greg Drummond,M,25,Great Britain,Curling,2014,0,0,1,1
Violetta Vitalyevna Kolobova,F,25,Russia,Fencing,2016,1,0,0,1
Gu Jun,F,25,China-2,Badminton,2000,0,1,0,1
Paola Milagros Espinosa Snchez,F,25,Mexico,Diving,2012,0,0,1,1
Michael Toon,M,25,Australia,Rowing,2004,1,0,0,1
Almuth Schult,F,25,Germany,Football,2016,0,1,0,1
Dmitry Sergeyevich Ilyinykh,M,25,Russia,Volleyball,2012,0,1,0,1
Jesse Aaron Smith,M,25,United States,Water Polo,2008,0,0,1,1
Vra Pospilov-Cechlov,F,25,Czech Republic,Athletics,2004,1,0,0,1
Mika Someya,F,25,Japan,Softball,2008,0,1,0,1
Jelle van Gorkom,M,25,Netherlands,Cycling,2016,0,0,1,1
Conny Wamuth,F,25,Germany,Canoeing,2008,0,1,0,1
Jenna O'Hea,F,25,Australia,Basketball,2012,1,0,0,1
Connor Jaeger,M,25,United States,Swimming,2016,0,0,1,1
Jennifer Claire Joines (-Tamas),F,25,United States,Volleyball,2008,0,0,1,1
Jennifer Digbeu (-Gadiou),F,25,France,Basketball,2012,0,0,1,1
Jennifer Jill Rodriguez,F,25,United States,Speed Skating,2002,2,0,0,2
Mihaela Petril,F,25,Romania,Rowing,2016,1,0,0,1
Hac liyev,M,25,Azerbaijan,Wrestling,2016,1,0,0,1
Jean-Guillaume Batrix,M,25,France,Biathlon,2014,1,0,0,1
Coralie Balmy,F,25,France,Swimming,2012,1,0,0,1
Or Sasson,M,25,Israel,Judo,2016,1,0,0,1
Orlando Ortega Alejo,M,25,Spain,Athletics,2016,0,0,1,1
"Cludia Maria ""Cludinha"" das Neves",F,25,Brazil,Basketball,2000,1,0,0,1
Cline Sandrine Francine Goberville,F,25,France,Shooting,2012,0,0,1,1
Ding Feng,M,25,China,Shooting,2012,1,0,0,1
Michelle Williams (-Toro),F,25,Canada,Swimming,2016,1,0,0,1
Jeong Geun-U,M,25,South Korea,Baseball,2008,0,1,0,1
Mihaela Maevska,F,25,Bulgaria,Rhythmic Gymnastics,2016,1,0,0,1
Oskars Melbrdis,M,25,Latvia-1,Bobsleigh,2014,0,0,1,1
Cntia Silva dos Santos,F,25,Brazil,Basketball,2000,1,0,0,1
Michiyo Fujimaru,F,25,Japan,Synchronized Swimming,2004,0,0,1,1
Jeong Bo-Kyeong,F,25,South Korea,Judo,2016,0,0,1,1
Agnieszka Kobus,F,25,Poland,Rowing,2016,1,0,0,1
Agnieszka Jadwiga Wieszczek-Kordus,F,25,Poland,Wrestling,2008,1,0,0,1
Aika Hakoyama,F,25,Japan,Synchronized Swimming,2016,1,0,0,1
Igor Viktorovich Makarov,M,25,Belarus,Judo,2004,0,1,0,1
Danil Theodor Mensch,M,25,Netherlands,Rowing,2004,0,0,1,1
Aikaterini Thanou,F,25,Greece,Athletics,2000,0,0,1,1
"Zachary Justin ""Zach"" Parise",M,25,United States,Ice Hockey,2010,0,0,1,1
Igor Vuurovi,M,25,Serbia and Montenegro,Volleyball,2000,0,1,0,1
Daniyar Maratovich Yeleusinov,M,25,Kazakhstan,Boxing,2016,0,1,0,1
Danny Miranda Agramonte,M,25,Cuba,Baseball,2004,0,1,0,1
Zhong Tianshi,F,25,China,Cycling,2016,0,1,0,1
Zhong Man,M,25,China,Fencing,2008,0,1,0,1
Zheng Jie,F,25,China-1,Tennis,2008,1,0,0,1
Nataliya Vitalyevna Vorobyova,F,25,Russia,Wrestling,2016,0,0,1,1
Zhang Zhilei,M,25,China,Boxing,2008,0,0,1,1
Ian Lowell Crocker,M,25,United States,Swimming,2008,0,1,0,1
Zhang Xiangxiang,M,25,China,Weightlifting,2008,0,1,0,1
Zhang Mengxue,F,25,China,Shooting,2016,0,1,0,1
Nikolay Anatolyevich Kovalyov,M,25,Russia,Fencing,2012,1,0,0,1
Zhang Hong,F,25,China,Speed Skating,2014,0,1,0,1
Zhan Vensanovych Beleniuk,M,25,Ukraine,Wrestling,2016,0,0,1,1
Nataliya Anatolyevna Kutuzova,F,25,Russia,Water Polo,2000,1,0,0,1
Daniela Druncea,F,25,Romania,Rowing,2016,1,0,0,1
Natalia Barbara Czerwonka,F,25,Poland,Speed Skating,2014,0,0,1,1
Yuliya Viktorovna Nesterenko (Bartsevich-),F,25,Belarus,Athletics,2004,0,1,0,1
Yuliya Valentinovna Bichik,F,25,Belarus,Rowing,2008,1,0,0,1
Aja L. Evans,F,25,United States-2,Bobsleigh,2014,1,0,0,1
Hendrik Pekeler,M,25,Germany,Handball,2016,1,0,0,1
"Daniil Yevgenyevich ""Danny"" Markov",M,25,Russia,Ice Hockey,2002,1,0,0,1
Ilias Iliadis,M,25,Greece,Judo,2012,1,0,0,1
Natalie Louise Cook,F,25,Australia-1,Beach Volleyball,2000,0,1,0,1
Akito Watabe,M,25,Japan,Nordic Combined,2014,0,0,1,1
David Price,M,25,Great Britain,Boxing,2008,1,0,0,1
Daniele Lupo,M,25,Italy-1,Beach Volleyball,2016,0,0,1,1
Akzhurek Dostykovich Tanatarov,M,25,Kazakhstan,Wrestling,2012,1,0,0,1
Abhinav Bindra,M,25,India,Shooting,2008,0,1,0,1
"Abraham Robertus ""Bram"" Lomans",M,25,Netherlands,Hockey,2000,0,1,0,1
Nemanja Nedovi,M,25,Serbia,Basketball,2016,0,0,1,1
Nicole Brandebusemeyer,F,25,Germany,Football,2000,1,0,0,1
Nicole Beukers,F,25,Netherlands,Rowing,2016,0,0,1,1
Zhou Mi,F,25,China,Badminton,2004,1,0,0,1
l Mats Arne Larsson,M,25,Sweden,CrossCountry Skiing,2006,1,0,0,1
Nicole Denise Cooke,F,25,Great Britain,Cycling,2008,0,1,0,1
Hollie Webb,F,25,Great Britain,Hockey,2016,0,1,0,1
Hilary Caldwell,F,25,Canada,Swimming,2016,1,0,0,1
va Csernoviczki,F,25,Hungary,Judo,2012,1,0,0,1
Hestrie Storbeck-Cloete (-Els),F,25,South Africa,Athletics,2004,0,0,1,1
David Anthony Backes,M,25,United States,Ice Hockey,2010,0,0,1,1
ukasz Zygmunt Pawowski,M,25,Poland,Rowing,2008,0,0,1,1
Hidilyn Diaz,F,25,Philippines,Weightlifting,2016,0,0,1,1
Aaron Egbele,M,25,Nigeria,Athletics,2004,1,0,0,1
Aaron Wells Peirsol,M,25,United States,Swimming,2008,0,2,1,3
"David ""Dave"" Smith",M,25,Australia,Canoeing,2012,0,1,0,1
rka Zhrobsk-Strachov,F,25,Czech Republic,Alpine Skiing,2010,1,0,0,1
Hui Ruoqi,F,25,China,Volleyball,2016,0,1,0,1
Daouda Demba Sow,M,25,France,Boxing,2008,0,0,1,1
Nikola Miroti Stajovi,M,25,Spain,Basketball,2016,1,0,0,1
"Natasha Kanani Janine ""Tasha"" Kai",F,25,United States,Football,2008,0,1,0,1
Hwang Jong-Hyeon,M,25,South Korea,Hockey,2000,0,0,1,1
Zoltn Kvg,M,25,Hungary,Athletics,2004,0,0,1,1
Adenzia Aparecida Ferreira da Silva,F,25,Brazil,Volleyball,2012,0,1,0,1
Zuzana Hejnov,F,25,Czech Republic,Athletics,2012,1,0,0,1
Hsu Shu-Ching,F,25,Chinese Taipei,Weightlifting,2016,0,1,0,1
Natsumi Hoshi,F,25,Japan,Swimming,2016,1,0,0,1
Adla Skorov-Bruns,F,25,Czech Republic,Shooting,2012,1,0,0,1
Huang Wenyi,F,25,China,Rowing,2016,1,0,0,1
"Nathaniel James ""Nate"" Dusing",M,25,United States,Swimming,2004,1,0,0,1
Yanet Bermoy Acosta,F,25,Cuba,Judo,2012,0,0,1,1
Yan Sen,M,25,China-2,Table Tennis,2000,0,1,0,1
Ogonna Nneka Nnamani,F,25,United States,Volleyball,2008,0,0,1,1
Oksana Aleksandrovna Domnina,F,25,Russia-1,Figure Skating,2010,1,0,0,1
Ivan Vitalyevich Nifontov,M,25,Russia,Judo,2012,1,0,0,1
Yekaterina Valeryevna Prokofyeva,F,25,Russia,Water Polo,2016,1,0,0,1
Yekaterina Fyodorovna Ilyina,F,25,Russia,Handball,2016,0,1,0,1
He Chong,M,25,China,Diving,2012,1,0,0,1
Nurbakyt Moldakhmetuly Tengizbayev,M,25,Kazakhstan,Wrestling,2008,1,0,0,1
Ivan Fyodorovich Dychko,M,25,Kazakhstan,Boxing,2016,1,0,0,1
Yarisley Silva Rodrguez,F,25,Cuba,Athletics,2012,0,0,1,1
Yarelis Barrios Castaeda,F,25,Cuba,Athletics,2008,0,0,1,1
Ivan Ljubii,M,25,Croatia,Tennis,2004,1,0,0,1
Mris trombergs,M,25,Latvia,Cycling,2012,0,1,0,1
"Daniel ""Dan"" Bibby",M,25,Great Britain,Rugby Sevens,2016,0,0,1,1
Monique Marie Henderson,F,25,United States,Athletics,2008,0,1,0,1
Monica Knudsen,F,25,Norway,Football,2000,0,1,0,1
Dale Begg-Smith,M,25,Australia,Freestyle Skiing,2010,0,0,1,1
Molly Patricia Schaus,F,25,United States,Ice Hockey,2014,0,0,1,1
Mokgadi Caster Semenya,F,25,South Africa,Athletics,2016,0,1,0,1
Mohini Bhardwaj (-Barry),F,25,United States,Gymnastics,2004,0,0,1,1
Denise Herrmann,F,25,Germany,CrossCountry Skiing,2014,1,0,0,1
Wu Jingyu,F,25,China,Taekwondo,2012,0,1,0,1
Wu Yiwen,F,25,China,Synchronized Swimming,2012,0,0,1,1
Oktawia Nowacka,F,25,Poland,Modern Pentathlon,2016,1,0,0,1
Aleksandr Georgiyevich Gerasimov,M,25,Russia,Volleyball,2000,0,0,1,1
Aleksandr Ivanovich Maletin,M,25,Russia,Boxing,2000,1,0,0,1
Yoon Jae-Young,M,25,South Korea,Table Tennis,2008,1,0,0,1
Yorelvis Charles Martnez,M,25,Cuba,Baseball,2004,0,1,0,1
Iouri Aleksandrovich Podladtchikov,M,25,Switzerland,Snowboarding,2014,0,1,0,1
Nora Mrk,F,25,Norway,Handball,2016,1,0,0,1
Davit Modzmanashvili,M,25,Georgia,Wrestling,2012,0,0,1,1
Irina Borisovna Sokolovskaya,F,25,Russia,Basketball,2008,1,0,0,1
Ylenia Scapin,F,25,Italy,Judo,2000,1,0,0,1
Daniel Jrent,M,25,France,Fencing,2016,0,1,0,1
Yin Junhua,F,25,China,Boxing,2016,0,0,1,1
Nina Gennadyevna Vislova,F,25,Russia,Badminton,2012,1,0,0,1
David Verburg,M,25,United States,Athletics,2016,0,1,0,1
Ingrid Anna Kristina Vikman,F,25,Sweden,Ice Hockey,2006,0,0,1,1
Yukiko Inui,F,25,Japan,Synchronized Swimming,2016,2,0,0,2
Daniel Steven Kowalski,M,25,Australia,Swimming,2000,0,1,0,1
Nina Reithmayer,F,25,Austria,Luge,2010,0,0,1,1
Yuki Nagasato-Ogimi,F,25,Japan,Football,2012,0,0,1,1
Noeki Klein,F,25,Netherlands,Water Polo,2008,0,1,0,1
Yuka Kato,F,25,Japan,Swimming,2012,1,0,0,1
Heike Fischer,F,25,Germany,Diving,2008,1,0,0,1
Yevgeny Aleksandrovich Garanichev,M,25,Russia,Biathlon,2014,1,0,0,1
Yevgeniya Yevgeniyevna Polyakova,F,25,Russia,Athletics,2008,0,1,0,1
Heather Rame Fell,F,25,Great Britain,Modern Pentathlon,2008,0,0,1,1
Muriel Hurtis-Houairi,F,25,France,Athletics,2004,1,0,0,1
Yevgeny Andreyevich Tishchenko,M,25,Russia,Boxing,2016,0,1,0,1
Yelena Viktorovna Dmitriyeva,F,25,Russia,Handball,2008,0,0,1,1
He Zi,F,25,China,Diving,2016,0,0,1,1
Mun Pil-Hui,F,25,South Korea,Handball,2008,1,0,0,1
Irina Mikhaylovna Fedotova,F,25,Russia,Rowing,2000,1,0,0,1
Myrna Veenstra,F,25,Netherlands,Hockey,2000,1,0,0,1
Myriam Lignot,F,25,France,Synchronized Swimming,2000,1,0,0,1
Irina Viktorovna Khazova (Artyomova-),F,25,Russia,CrossCountry Skiing,2010,1,0,0,1
Irina Viktorovna Tebenikhina,F,25,Russia,Volleyball,2004,0,0,1,1
Irina Vladimirovna Karavayeva,F,25,Russia,Trampolining,2000,0,1,0,1
DeMarcus Amir Cousins,M,25,United States,Basketball,2016,0,1,0,1
"Alberto ""Albert"" Costa Casal",M,25,Spain,Tennis,2000,1,0,0,1
Mutaz Essa Barshim,M,25,Qatar,Athletics,2016,0,0,1,1
Irving Jahir Saladino Arana,M,25,Panama,Athletics,2008,0,1,0,1
Myeom Bok-Hui,F,25,South Korea,Handball,2004,0,0,1,1
Passion J. Richardson,F,25,United States,Athletics,2000,1,0,0,1
"Joseph James ""Joe"" Pavelski",M,25,United States,Ice Hockey,2010,0,0,1,1
Gillian Ferrari,F,25,Canada,Ice Hockey,2006,0,1,0,1
Maximilian Levy,M,25,Germany,Cycling,2012,1,0,1,2
Andreas Klden,M,25,Germany,Cycling,2000,1,0,0,1
Andreas Kofler,M,25,Austria,Ski Jumping,2010,0,1,0,1
Genzebe Dibaba Keneni,F,25,Ethiopia,Athletics,2016,0,0,1,1
Masaki Inoue,M,25,Japan,Cycling,2004,0,0,1,1
Jos Antonio Hermida Ramos,M,25,Spain,Cycling,2004,0,0,1,1
"Maximillian ""Max"" Mller",M,25,Germany,Hockey,2012,0,1,0,1
Gennady Yuryevich Oleshchuk,M,25,Belarus,Weightlifting,2000,1,0,0,1
Mayra Aguiar da Silva,F,25,Brazil,Judo,2016,1,0,0,1
Anna Goodale,F,25,United States,Rowing,2008,0,1,0,1
Dorjsurengiin Sumiya,F,25,Mongolia,Judo,2016,0,0,1,1
Gintar Volungeviit-Scheidt,F,25,Lithuania,Sailing,2008,0,0,1,1
Pavel Sergeyevich Abramov,M,25,Russia,Volleyball,2004,1,0,0,1
Pawina Thongsuk,F,25,Thailand,Weightlifting,2004,0,1,0,1
Andreas Wolff,M,25,Germany,Handball,2016,1,0,0,1
Dzhamal Sultanovich Otarsultanov,M,25,Russia,Wrestling,2012,0,1,0,1
Junko Onishi,F,25,Japan,Swimming,2000,1,0,0,1
Ulrich Dimitri Robeiri,M,25,France,Fencing,2008,0,1,0,1
Andreas Wank,M,25,Germany,Ski Jumping,2014,0,1,0,1
Charmaine L. Howell,F,25,Jamaica,Athletics,2000,0,0,1,1
Andrae Williams,M,25,Bahamas,Athletics,2008,0,0,1,1
Valeriy Oleksandrovych Andriitsev,M,25,Ukraine,Wrestling,2012,0,0,1,1
Valerio Aspromonte,M,25,Italy,Fencing,2012,0,1,0,1
Melaine Antoinette Walker,F,25,Jamaica,Athletics,2008,0,1,0,1
Kaitlyn Lawes,F,25,Canada,Curling,2014,0,1,0,1
"Melanie Rene ""Mel"" Schlanger (-Wright)",F,25,Australia,Swimming,2012,0,1,2,3
Melanie Hoffmann,F,25,Germany,Football,2000,1,0,0,1
Kahena Kunze,F,25,Brazil,Sailing,2016,0,1,0,1
"Thomas Allen ""Tom"" Shields",M,25,United States,Swimming,2016,0,1,0,1
Gbor Kis,M,25,Hungary,Water Polo,2008,0,1,0,1
Christine Be Jensen,F,25,Norway,Football,2000,0,1,0,1
Andrea Pirlo,M,25,Italy,Football,2004,1,0,0,1
Vaeceslav Gojan,M,25,Moldova,Boxing,2008,1,0,0,1
Doriane Monique Vidal,F,25,France,Snowboarding,2002,0,0,1,1
Jonathan Bryan Toews,M,25,Canada,Ice Hockey,2014,0,1,0,1
Gennady Kazbekovich Laliyev,M,25,Kazakhstan,Wrestling,2004,0,0,1,1
Petra Dallmann,F,25,Germany,Swimming,2004,1,0,0,1
Gemma Beadsworth,F,25,Australia,Water Polo,2012,1,0,0,1
Joji Kato,M,25,Japan,Speed Skating,2010,1,0,0,1
Gemma Jeanette Gibbons,F,25,Great Britain,Judo,2012,0,0,1,1
Andrea Hlavkov,F,25,Czech Republic-1,Tennis,2012,0,0,1,1
Valentin Porte,M,25,France,Handball,2016,0,0,1,1
"Genevieve ""Gen"" Behrent",F,25,New Zealand,Rowing,2016,0,0,1,1
Giulia Quintavalle,F,25,Italy,Judo,2008,0,1,0,1
Tony Gunawan,M,25,Indonesia,Badminton,2000,0,1,0,1
Chen Xiexia,F,25,China,Weightlifting,2008,0,1,0,1
Tonje Kjrgaard (-Petersen),F,25,Denmark,Handball,2000,0,1,0,1
Tina Trstenjak,F,25,Slovenia,Judo,2016,0,1,0,1
Tomohiro Nagatsuka,M,25,Japan,Cycling,2004,0,0,1,1
Joyce Sombroek,F,25,Netherlands,Hockey,2016,0,0,1,1
Matteo Pelliciari,M,25,Italy,Swimming,2004,1,0,0,1
"Georgina Sophie ""Georgie"" Twigg",F,25,Great Britain,Hockey,2016,0,1,0,1
"Timothy ""Tim"" Montgomery",M,25,United States,Athletics,2000,0,1,0,1
Chen Shih-Hsien,F,25,Chinese Taipei,Taekwondo,2004,0,1,0,1
Matthias Steiner,M,25,Germany,Weightlifting,2008,0,1,0,1
"Jovanka ""Jova"" Radievi",F,25,Montenegro,Handball,2012,0,0,1,1
Matteo Piano,M,25,Italy,Volleyball,2016,0,0,1,1
Cheng Xunzhao,M,25,China,Judo,2016,1,0,0,1
Jrme Cdric Thomas,M,25,France,Boxing,2004,0,0,1,1
Tom Dumoulin,M,25,Netherlands,Cycling,2016,0,0,1,1
Anela Bulatovi,F,25,Montenegro,Handball,2012,0,0,1,1
