Name,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Population,Average Cost,Expenditure,Average Faculty Salary,Median Debt,Median Family Income,Median Earnings
Philadelphia University,Private,Mid Atlantic,Large City,64,23,1062,2791,46451,9410,7818,24750,81316.5,43600
Randolph-Macon College,Private,Southeast,Large Suburb,64,24,1082,1294,45842,9585,7406,19557,92252.5,39900
Saint Josephs College,Private,Great Lakes,Distant Town,64,22,998,1096,37135,6339,5443,13576.5,75145.5,35800
Saint Louis University,Private,Great Plains,Large City,64,28,1237,7961,52413,16641,10028,20500,87461,48100
San Francisco State University,Public,Far West,Large City,64,22,998,25271,22267,7919,9147,15000,29962,42100
St Francis College,Private,Mid Atlantic,Large City,64,0,940,2725,24739,6389,8739,15347.5,34186,39300
SUNY Maritime College,Public,Mid Atlantic,Large City,64,23,1056,1565,21493,10198,6536,21980,79477.5,68300
Temple University,Public,Mid Atlantic,Large City,64,25,1121,27511,27247,12500,9648,21700,56155,43600
Trinity University,Private,Southwest,Large City,64,29,1270,2127,46274,14743,9715,18500,101012.5,49600
University of Bridgeport,Private,New England,Mid-size City,64,20,923,2835,45640,7757,7160,17500,36730,37600
University of Massachusetts-Lowell,Public,New England,Large Suburb,64,25,1132,11830,22861,10446,11296,19500,61757,45600
University of Nebraska-Lincoln,Public,Great Plains,Large City,64,25,1147,19376,21024,10583,10085,15799,72140.5,39200
University of North Carolina at Asheville,Public,Southeast,Small City,64,26,1190,3323,17468,9085,7371,15772.5,48654,31600
University of Puerto Rico-Ponce,Public,Outlying Areas,Mid-size City,64,0,0,3120,13018,5276,5174,5250,22433.5,0
University of South Carolina-Upstate,Public,Southeast,Mid-size Suburb,64,21,982,4952,20848,6703,6139,15750,41002.5,33600
Wisconsin Lutheran College,Private,Great Lakes,Large City,64,24,1097,1058,34192,9405,6106,16172,75194,35000
Allegheny College,Private,Mid Atlantic,Distant Town,65,26,1182,2126,50044,12490,8108,27000,85933,42200
Anderson University,Private,Southeast,Small City,65,24,1079,2381,35340,5009,6409,19500,58707.5,32600
Central Methodist University-College of Liberal Arts and Sciences,Private,Great Plains,Distant Town,65,22,1006,1104,32000,9279,5697,12580,44654,31500
Eastern Connecticut State University,Public,New England,Fringe Town,65,22,1017,4920,22633,8554,8091,17500,76549,39500
Eastern Mennonite University,Private,Southeast,Small City,65,22,999,1148,38009,11464,5903,14926,66842,34900
Fontbonne University,Private,Great Plains,Large Suburb,65,23,1070,1242,30833,8770,6008,25000,45291,38100
Jackson State University,Public,Southeast,Mid-size City,65,19,910,6880,18724,8323,6761,23750,21113,26000
Johnson & Wales University-North Miami,Private,Southeast,Large Suburb,65,0,0,1937,38974,5776,7491,20667,55421,33000
Misericordia University,Private,Mid Atlantic,Large Suburb,65,23,1057,2362,38504,7162,7112,22212.5,66143,47000
Mississippi State University,Public,Southeast,Remote Town,65,24,1106,16399,20796,6989,7852,15500,41243.5,36800
Montclair State University,Public,Mid Atlantic,Large Suburb,65,0,970,15182,22773,9239,9661,19000,53696,43400
New Jersey Institute of Technology,Public,Mid Atlantic,Large City,65,26,1142,6449,26700,8337,11262,16145,43773,58300
Norfolk State University,Public,Southeast,Mid-size City,65,18,879,5955,18837,7209,7608,21500,36184,30300
Northwood University-Michigan,Private,Great Lakes,Small City,65,22,1029,2920,32803,5977,6534,18750,49456,40800
Pontifical Catholic University of Puerto Rico-Ponce,Private,Outlying Areas,Mid-size City,65,0,0,5926,11355,2999,4002,7500,14907,16600
Sam Houston State University,Public,Southwest,Distant Town,65,21,999,16255,19173,4851,7316,16490,47405.5,38400
Savannah College of Art and Design,Private,Southeast,Mid-size City,65,24,1078,8750,49179,10302,8024,21521.5,78907,29700
Seton Hill University,Private,Mid Atlantic,Large Suburb,65,23,1032,1550,40497,8304,6822,22131,56664,36000
Southwest Minnesota State University,Public,Great Plains,Remote Town,65,22,1010,2426,19109,5187,8030,15750,56016,34900
Spring Arbor University,Private,Great Lakes,Small Suburb,65,23,1069,2860,32709,6679,4953,20729,55009.5,34800
University of Delaware,Public,Mid Atlantic,Large Suburb,65,27,1178,17729,21748,17186,11834,21000,102027,50100
University of New Mexico-Main Campus,Public,Southwest,Large City,65,22,1038,20847,16822,11288,8938,14164.5,26437,31900
Western Connecticut State University,Public,New England,Small City,65,0,0,5184,19446,8964,8712,17050,67834,38700
Whitworth University,Private,Far West,Large Suburb,65,0,0,2337,45655,9558,6730,22500,74397.5,35900
Asbury University,Private,Southeast,Fringe Town,66,24,1110,1392,33966,8335,5924,20325,68034.5,30200
Butler University,Private,Great Lakes,Large City,66,28,1212,3998,47010,12922,7980,25000,99069,50700
California State University-Bakersfield,Public,Far West,Large City,66,19,901,7226,18061,6087,8122,11000,28069.5,42300
Central College,Private,Great Plains,Distant Town,66,24,1089,1303,43491,11755,6790,27000,77865,39200
Drake University,Private,Great Plains,Mid-size City,66,28,1240,3310,42477,9273,9108,21500,88132.5,48000
Fairmont State University,Public,Southeast,Distant Town,66,21,965,3856,14710,6107,6656,14210,36183,29400
Florida Gulf Coast University,Public,Southeast,Large Suburb,66,22,1024,12795,18097,6606,7382,11625,46981,37600
Gallaudet University,Private,Mid Atlantic,Large City,66,18,841,1053,29852,33092,10183,12000,26730,26400
Greenville College,Private,Great Lakes,Distant Town,66,22,1033,1101,33675,6925,5649,16568,61294,32400
Gwynedd Mercy University,Private,Mid Atlantic,Large Suburb,66,19,944,2031,39051,7436,7046,20250,70168,48600
Hamline University,Private,Great Plains,Large City,66,24,1106,2108,43433,7717,6607,18250,61451,43100
Lakeland College,Private,Great Lakes,Fringe Rural,66,22,1007,2449,32706,4730,6425,19023.5,45209,37900
Lindenwood University,Private,Great Plains,Small City,66,23,1045,7928,30193,3942,6787,20500,62127,35400
Manhattan College,Private,Mid Atlantic,Large City,66,25,1090,3403,44895,9882,9042,21500,94555,56000
Messiah College,Private,Mid Atlantic,Large Suburb,66,26,1154,2739,41341,10251,7958,23000,91486,38000
Minnesota State University-Mankato,Public,Great Plains,Small City,66,22,1030,12542,17578,5706,8155,15116,71852,38100
Niagara University,Private,Mid Atlantic,Large Suburb,66,23,1038,2841,38829,7355,8135,21000,77507.5,37600
Oakland University,Public,Great Lakes,Large Suburb,66,23,1070,16113,19198,7570,8482,18250,56986,37900
Our Lady of the Lake University,Private,Southwest,Large City,66,18,882,1509,33227,7872,7587,17500,31566.5,35700
Presbyterian College,Private,Southeast,Distant Town,66,25,1121,1069,45130,10252,7217,18797,84599,37800
Texas Tech University,Public,Southwest,Mid-size City,66,25,1116,26809,20900,6813,8757,17750,69477,43900
Thiel College,Private,Mid Atlantic,Fringe Town,66,21,967,1045,39573,7496,6301,20500,57911,33100
University of Idaho,Public,Rocky Mountains,Fringe Rural,66,23,1070,8539,19700,10938,7986,18550,51484,35800
University of Southern Mississippi,Public,Southeast,Small City,66,24,1082,12371,18781,7858,7109,16600,29062,33200
Ursinus College,Private,Mid Atlantic,Large Suburb,66,27,1182,1578,57163,13464,8769,27000,89174,46600
Bemidji State University,Public,Great Plains,Remote Town,67,21,990,4397,18166,5452,7669,13500,53717,35100
Bethune-Cookman University,Private,Southeast,Small City,67,17,812,3723,27017,5978,5838,18750,31109,23500
Bradley University,Private,Great Lakes,Mid-size City,67,26,1163,4823,40330,14790,8424,23677,85839,45000
Carson-Newman University,Private,Southeast,Small Suburb,67,23,1064,1688,32446,6574,5577,15505,52873,32900
Curry College,Private,New England,Large Suburb,67,18,931,2794,47519,9905,8319,18625,74416,41900
Eastern Oregon University,Public,Far West,Remote Town,67,0,935,3422,18959,6622,6057,14820,38491,35100
Gonzaga University,Private,Far West,Mid-size City,67,27,1204,4830,46475,9687,8626,26035,87057,47900
Hanover College,Private,Great Lakes,Distant Town,67,26,1130,1159,42198,13801,7847,22225,82681,37300
Ithaca College,Private,Mid Atlantic,Small Suburb,67,0,0,6202,53521,12032,8425,23251,92718,45600
Kalamazoo College,Private,Great Lakes,Small City,67,28,1240,1427,48547,14477,7991,24000,97614,41400
Lebanon Valley College,Private,Mid Atlantic,Small Suburb,67,25,1112,1698,46169,9979,7793,24500,88001.5,41000
Lesley University,Private,New England,Mid-size City,67,24,1065,1785,47788,9092,7838,19500,55849,33200
Louisiana Tech University,Public,Southeast,Distant Town,67,24,1089,7047,16983,5668,7055,13632.5,43568,37500
Massachusetts College of Liberal Arts,Public,New England,Fringe Town,67,23,1032,1483,20025,8508,8113,18499,56421.5,29500
Miami University-Oxford,Public,Great Lakes,Fringe Town,67,28,1240,15378,30858,10056,8478,16766.5,81424.5,40500
Mississippi College,Private,Southeast,Large Suburb,67,24,1098,2895,25976,8024,7079,16625,37912,35800
Morehouse College,Private,Southeast,Large City,67,21,990,2161,45451,11151,6903,25999.5,53238.5,36200
Mount St Mary's University,Private,Mid Atlantic,Fringe Town,67,20,1060,1729,45896,8691,7121,19500,98879,47100
Point Loma Nazarene University,Private,Far West,Large City,67,26,1155,2543,43060,9224,9653,20500,78964,43900
Quinnipiac University,Private,New England,Large Suburb,67,25,1102,6486,53476,13065,8649,21852,108100,54100
Saint Augustine's University,Private,Southeast,Large City,67,15,749,1299,31095,6544,5105,20250,31823,23100
Salve Regina University,Private,New England,Large Suburb,67,25,1109,1989,48219,8057,7425,26303.5,100931,44800
Slippery Rock University of Pennsylvania,Public,Mid Atlantic,Distant Town,67,21,1002,7544,21303,7194,9336,20500,64717,36100
The New School,Private,Mid Atlantic,Large City,67,25,1131,6581,57203,12326,9716,20500,48618,38200
University of Portland,Private,Far West,Large City,67,0,1195,3468,51036,10427,7678,22454,86897,48800
University of Redlands,Private,Far West,Small City,67,25,1135,3462,55268,9159,9234,24000,69769,47100
Washington College,Private,Mid Atlantic,Distant Town,67,27,1168,1424,52243,12924,7927,25000,108663.5,40800
Wheaton College,Private,New England,Large Suburb,67,0,0,1640,56934,15962,9037,22500,92594,42500
Widener University-Main Campus,Private,Mid Atlantic,Large Suburb,67,0,1025,3188,50294,14466,7473,20850,60128,49700
Adelphi University,Private,Mid Atlantic,Large Suburb,68,22,1098,5000,41559,12142,11315,21325,54115,49400
Albertus Magnus College,Private,New England,Mid-size City,68,0,830,1278,41520,5204,7601,26313,50062.5,48900
Alma College,Private,Great Lakes,Distant Town,68,25,1100,1385,43157,9213,7256,21500,74312,38000
American International College,Private,New England,Mid-size City,68,19,885,1513,40803,4924,5700,20726,49259,36100
Augustana College,Private,Great Plains,Mid-size City,68,24,1105,1615,36828,10615,6488,25249,76993.5,38200
Belmont Abbey College,Private,Southeast,Mid-size Suburb,68,21,977,1634,39328,5227,4524,18500,55427,33300
Beloit College,Private,Great Lakes,Small City,68,27,1227,1244,48236,13624,7161,23231.5,90105,33300
California State University-Los Angeles,Public,Far West,Large City,68,18,871,19525,14747,6569,8767,12000.5,20015,39400
Campbellsville University,Private,Southeast,Remote Town,68,21,985,2213,31545,5444,5692,12000,45765,29800
Cornerstone University,Private,Great Lakes,Mid-size City,68,24,1084,2100,33912,6292,5537,17750,55078,32800
Delaware Valley College,Private,Mid Atlantic,Large Suburb,68,22,1005,1774,44778,8110,7140,19500,79773,35800
Geneva College,Private,Mid Atlantic,Large Suburb,68,23,1070,1532,34818,7872,6808,20593,60823.5,36300
Georgia College and State University,Public,Southeast,Distant Town,68,24,1126,5636,23052,7476,6354,16250,72314,36300
Georgia Southwestern State University,Public,Southeast,Distant Town,68,20,950,2598,17839,5645,5689,14500,31658.5,31500
Guilford College,Private,Southeast,Large City,68,23,1067,2171,44255,7234,6361,18500,36082.5,33400
Lenoir-Rhyne University,Private,Southeast,Small City,68,21,976,1409,39425,7048,6600,17714,62412.5,33600
Midland University,Private,Great Plains,Distant Town,68,21,970,1189,36214,4625,5733,11500,64320,35400
Milwaukee School of Engineering,Private,Great Lakes,Large City,68,28,1244,2452,43747,10975,8286,25893,77754,61000
Mount Mercy University,Private,Great Plains,Mid-size City,68,22,1010,1454,37183,7292,6007,19500,65962.5,40900
Nazareth College,Private,Mid Atlantic,Large Suburb,68,0,0,1995,41298,11154,7831,22125,76650,39900
Ohio Northern University,Private,Great Lakes,Fringe Town,68,26,1153,2205,49618,12893,8551,25000,89742,57500
Shorter University,Private,Southeast,Small City,68,21,954,1518,30642,5532,5154,25250,48847,43000
Siena College,Private,Mid Atlantic,Large Suburb,68,25,1122,3102,45452,10545,8320,23000,93663,49400
Siena Heights University,Private,Great Lakes,Distant Town,68,21,990,2325,31980,5261,5676,15328,48925,34500
SUNY College at Potsdam,Public,Mid Atlantic,Remote Town,68,0,0,3683,19829,11647,6194,19500,61089,33700
Texas A & M University-Commerce,Public,Southwest,Distant Town,68,21,987,6951,18487,6434,7743,15000,32165,35900
The University of Findlay,Private,Great Lakes,Distant Town,68,24,1083,2663,38941,8412,7043,18770,71474,38700
Troy University,Public,Southeast,Fringe Rural,68,21,990,16208,16877,5260,5996,17750,27401,33800
University of Memphis,Public,Southeast,Large City,68,22,1031,16178,20899,8742,8304,18938,29727,33700
University of Wisconsin-Madison,Public,Great Lakes,Mid-size City,68,28,1268,29504,23718,14278,10758,21000,87726,48200
William Paterson University of New Jersey,Public,Mid Atlantic,Large Suburb,68,0,1010,9930,21990,10404,10225,18750,54969,39900
AIB College of Business,Private,Great Plains,Mid-size City,69,0,0,1007,22469,3208,4706,13125,53783,34200
California State University-East Bay,Public,Far West,Mid-size City,69,19,910,12079,20676,6978,8804,12500,22898,45800
Centre College,Private,Southeast,Distant Town,69,29,1268,1372,46400,15873,6951,21450,90526,35800
Charleston Southern University,Private,Southeast,Small City,69,21,973,2904,33245,5888,6087,15750,44120.5,32400
Illinois State University,Public,Great Lakes,Mid-size Suburb,69,24,1110,17667,25416,9950,7665,18750,82019,40600
Loras College,Private,Great Plains,Small City,69,24,1088,1521,37622,6903,6173,24225,79300,38200
Lourdes University,Private,Great Lakes,Large Suburb,69,0,0,1747,27429,8764,5914,20000,30582.5,33200
Mercer University,Private,Southeast,Small City,69,26,1171,4304,46382,10646,7918,21500,48287.5,43900
Michigan State University,Public,Great Lakes,Small City,69,26,1158,37622,23740,14386,10614,22734,78152,46800
Moody Bible Institute,Private,Great Lakes,Large City,69,0,0,3019,25537,7752,5639,0,0,0
Rhode Island College,Public,New England,Large Suburb,69,20,930,7253,14858,7628,7607,15462,52408,35300
Saint Mary's College of California,Private,Far West,Fringe Rural,69,25,1115,3039,56500,12462,9229,21500,65861,50300
Saint Vincent College,Private,Mid Atlantic,Large Suburb,69,23,1035,1532,41591,7914,7116,25000,80131,40600
Salem State University,Public,New England,Large Suburb,69,22,986,7134,20601,7761,8765,19415,51386,37600
Texas A & M University-College Station,Public,Southwest,Small City,69,26,1182,43931,20819,13297,10287,16566.5,71288,49000
University of Charleston,Private,Southeast,Small City,69,22,991,1373,32147,6862,6012,10250,56456,37600
University of Kentucky,Public,Southeast,Large City,69,25,1140,21050,22420,10793,9614,14000,57564,39300
University of Minnesota-Crookston,Public,Great Plains,Distant Town,69,22,1004,1813,21549,5804,6497,14370,56026,38000
University of North Carolina at Charlotte,Public,Southeast,Large City,69,23,1066,21400,17767,8855,8337,16500,51983,38300
University of Northwestern-St Paul,Private,Great Plains,Large Suburb,69,25,1126,2038,37803,7118,6078,18636.5,65093,32100
University of Southern Indiana,Public,Great Lakes,Mid-size Suburb,69,22,1004,8764,17996,5112,6363,13500,57798,31300
Virginia Commonwealth University,Public,Southeast,Mid-size City,69,24,1102,22049,25291,12826,8242,19125,55696,38600
Wheaton College,Private,Great Lakes,Large Suburb,69,30,1318,2415,41394,14865,8328,21179,83641,39700
Wheeling Jesuit University,Private,Southeast,Small City,69,22,1023,1139,34213,6856,5731,16625,66698,40000
William Jessup University,Private,Far West,Fringe Rural,69,23,1039,1029,34811,6607,7043,17000,56144,30300
Wofford College,Private,Southeast,Small City,69,27,1186,1610,47856,10109,7867,19500,91037,44000
Alfred University,Private,Mid Atlantic,Remote Town,70,25,1106,1905,38830,10891,6408,21500,69334,35400
Armstrong Atlantic State University,Public,Southeast,Mid-size City,70,21,997,6206,19802,5392,5620,12750,34921,36300
Benedictine University,Private,Great Lakes,Large Suburb,70,22,1030,3739,35481,5558,7686,17188,53068,43400
Buena Vista University,Private,Great Plains,Remote Town,70,23,1050,2125,39011,7412,6736,17879,47120.5,36100
California State University-Sacramento,Public,Far West,Large City,70,20,945,25991,19380,7281,8364,15000,28449,42700
Calvin College,Private,Great Lakes,Mid-size City,70,26,1183,3895,39013,13845,7208,22500,93258,38100
Campbell University,Private,Southeast,Fringe Town,70,22,1030,4463,40323,8835,7536,17000,50771,41000
Carthage College,Private,Great Lakes,Mid-size Suburb,70,24,1105,2874,44910,9002,7638,20750,89579,40700
College of Charleston,Public,Southeast,Mid-size City,70,26,1165,10150,25086,8234,7747,17000,71255,35800
Concordia University-Wisconsin,Private,Great Lakes,Large Suburb,70,23,1049,4322,36660,7156,8016,14250,56964,38700
Elizabethtown College,Private,Mid Atlantic,Large Suburb,70,25,1117,1808,47390,13704,8137,23872.5,90303,44400
Indiana University-Purdue University-Indianapolis,Public,Great Lakes,Large City,70,22,1013,21569,20846,15311,7713,16500,43017,37400
Indiana University-South Bend,Public,Great Lakes,Mid-size City,70,21,962,5538,17377,7174,5575,14000,42462,31300
Inter American University of Puerto Rico-San German,Private,Outlying Areas,Small City,70,0,0,4308,10830,3332,4685,7250,13417.5,17500
John Brown University,Private,Southeast,Distant Town,70,25,1144,1770,33326,7040,6425,17900,53841.5,43100
Lincoln Memorial University,Private,Southeast,Remote Town,70,23,1054,1632,31241,7988,2660,15000,31386,35400
Massachusetts College of Art and Design,Public,New England,Large City,70,25,1081,1861,25384,11176,9403,22500,60374,30200
Middle Tennessee State University,Public,Southeast,Mid-size City,70,22,1011,20914,17501,7418,7029,15000,42980,33100
North Carolina A & T State University,Public,Southeast,Large City,70,19,902,8577,15313,9006,8227,19843,37668.5,29900
Ouachita Baptist University,Private,Southeast,Distant Town,70,24,1090,1513,31473,8912,4598,15000,71658,34600
Regis University,Private,Rocky Mountains,Large City,70,24,1087,4930,43058,6188,6685,20501,53578.5,49100
Springfield College,Private,New England,Mid-size City,70,23,1029,2157,44829,10324,8240,20500,50430,39900
University of Northern Colorado,Public,Rocky Mountains,Small City,70,22,1029,9525,19105,7571,7487,14250,69484,36200
Vanguard University of Southern California,Private,Far West,Mid-size City,70,23,980,2057,41952,6369,7714,19895,67855,33900
Virginia Polytechnic Institute and State University,Public,Southeast,Small City,70,0,1220,23928,25513,10476,10146,21500,95419,52900
Wagner College,Private,Mid Atlantic,Large City,70,25,1154,1830,49453,10939,7949,22875,94891,50800
Westmont College,Private,Far West,Mid-size Suburb,70,27,1193,1295,51760,14814,9329,19500,96799,39200
Xavier University,Private,Great Lakes,Large City,70,25,1132,4452,45080,10197,8089,24000,88138,43700
Aquinas College,Private,Great Lakes,Mid-size City,71,24,1090,1843,34593,6032,5972,19474,72085,31200
Champlain College,Private,New England,Small City,71,25,1122,2851,44636,8683,7305,21500,80415,37900
Eckerd College,Private,Southeast,Mid-size City,71,26,1138,2163,49802,11371,7433,23000,71700,36000
Fairfield University,Private,New England,Large Suburb,71,0,0,3721,56628,10775,10214,24000,116850,60200
Judson University,Private,Great Lakes,Mid-size City,71,23,1045,1020,37635,8737,6071,18245.5,67400.5,36300
Livingstone College,Private,Southeast,Mid-size Suburb,71,15,723,1172,25050,4901,5557,16750,28538.5,20900
Manchester University,Private,Great Lakes,Distant Town,71,22,1017,1188,38505,5778,6924,19500,74409.5,35900
Marywood University,Private,Mid Atlantic,Small City,71,0,1050,2034,41657,9241,7887,23250,61757,35100
Metropolitan State University of Denver,Public,Rocky Mountains,Large City,71,21,973,21696,14034,4898,5904,13450.5,32755,34900
Oregon Institute of Technology,Public,Far West,Remote Town,71,23,1025,3443,18801,9094,6667,18333.5,38541,48100
Stonehill College,Private,New England,Large Suburb,71,25,1133,2473,50677,12896,8602,26000,116545,51700
Tennessee Wesleyan College,Private,Southeast,Distant Town,71,22,1006,1068,28119,4651,4834,14500,45726.5,34600
University of Illinois at Chicago,Public,Great Lakes,Large City,71,24,1092,16601,25248,25773,9797,14750,41721,47000
University of Louisville,Public,Southeast,Large City,71,25,1142,15023,21922,15806,9373,13300,45597.5,35800
University of Massachusetts-Boston,Public,New England,Large City,71,0,1015,11786,19763,12405,10100,16362,33287,42400
University of Mobile,Private,Southeast,Fringe Rural,71,23,1058,1472,30108,6715,5024,22500,37643,32900
University of Mount Union,Private,Great Lakes,Fringe Town,71,23,1050,2056,37502,8974,6839,23557.5,74701.5,39100
University of Nebraska at Omaha,Public,Great Plains,Large City,71,23,1070,12153,16860,7900,7860,13631,57671,38300
University of the Cumberlands,Private,Southeast,Remote Town,71,22,1019,1545,30993,4050,5417,9500,48248,30100
Viterbo University,Private,Great Lakes,Small City,71,24,1090,2052,32956,6562,6099,21500,57043.5,37300
West Liberty University,Public,Southeast,Fringe Rural,71,21,984,2412,18406,4959,6482,15000,48827.5,30800
Bethel College-Indiana,Private,Great Lakes,Small City,72,24,1047,1579,33617,7756,5506,18275,54043,33200
Bowling Green State University-Main Campus,Public,Great Lakes,Fringe Town,72,22,1009,14161,22416,8529,7669,17500,70038,35500
California State University-Chico,Public,Far West,Small City,72,22,1014,15106,22926,6800,8370,14889.5,37864,41100
California State University-Stanislaus,Public,Far West,Small Suburb,72,19,917,7751,17161,8274,8072,14000,31658.5,38500
Concordia University-Nebraska,Private,Great Plains,Distant Town,72,24,1091,1185,33226,5404,6086,18225,68665,33700
Doane College-Crete,Private,Great Plains,Distant Town,72,24,1077,1111,36370,10167,5902,18624,56267,40300
Dominican College of Blauvelt,Private,Mid Atlantic,Large Suburb,72,21,899,1505,35825,7242,7601,19000,50370,43700
Elmhurst College,Private,Great Lakes,Large Suburb,72,24,1084,2819,41472,8096,7596,18791.5,67472.5,42700
Endicott College,Private,New England,Large Suburb,72,23,1070,2621,44177,5860,8415,23250,109499.5,43800
Fitchburg State University,Public,New England,Mid-size Suburb,72,20,987,4148,17686,7938,8371,15529.5,70609.5,38700
Goucher College,Private,Mid Atlantic,Small City,72,0,0,1444,50840,13475,7810,19500,88524,40200
Indiana Institute of Technology,Private,Great Lakes,Large City,72,20,934,5670,35911,3479,6965,10250,43973.5,37600
Indiana University-Bloomington,Public,Great Lakes,Small City,72,27,1198,31984,23043,13471,9431,19500,80326,42000
Keystone College,Private,Mid Atlantic,Large Suburb,72,19,901,1550,31012,5705,6328,16836,45833,28500
King's College,Private,Mid Atlantic,Small City,72,0,0,1987,41453,9087,7393,22250,78687.5,42900
Luther College,Private,Great Plains,Remote Town,72,26,1175,2388,46548,11373,7539,26902,90605,39900
Lycoming College,Private,Mid Atlantic,Small City,72,24,1047,1288,44256,8056,7080,27000,75474,40600
Malone University,Private,Great Lakes,Small City,72,23,1046,1571,35213,6567,6277,19549,63498,36600
MidAmerica Nazarene University,Private,Great Plains,Large Suburb,72,20,950,1390,32388,5381,6156,15000,60929,39200
Midwestern State University,Public,Southwest,Mid-size City,72,21,993,5192,15704,8018,7118,14950,42383.5,35600
Millersville University of Pennsylvania,Public,Mid Atlantic,Large Suburb,72,22,1014,7313,21756,7862,9485,18500,73644,39400
Northwest Missouri State University,Public,Great Plains,Remote Town,72,23,1050,5274,17005,7623,6501,14815,62365.5,34400
Oklahoma City University,Private,Southwest,Large City,72,26,1163,1954,41431,12581,7055,19749,52723,37000
Purdue University-North Central Campus,Public,Great Lakes,Fringe Rural,72,20,954,3514,13713,4976,6971,12285.5,47378,32800
Regis College,Private,New England,Large Suburb,72,21,954,1188,47432,7977,7055,24500,55309,41000
Rider University,Private,Mid Atlantic,Large Suburb,72,22,1038,4041,48163,12584,10318,22125,81460,43800
School of the Art Institute of Chicago,Private,Great Lakes,Large City,72,23,1065,2641,55551,14724,9208,19503,42495.5,28800
Seattle Pacific University,Private,Far West,Large City,72,26,1145,3354,45125,10210,8258,20981.5,81735,40500
St Mary's College of Maryland,Public,Mid Atlantic,Small Suburb,72,28,1221,1794,29174,13542,6981,19130,103581.5,42900
Susquehanna University,Private,Mid Atlantic,Distant Town,72,25,1129,2138,49025,10613,7970,21000,89238,47100
The University of Tennessee-Knoxville,Public,Southeast,Mid-size City,72,27,1199,20948,24746,20792,9976,15250,55229,39000
Trine University,Private,Great Lakes,Distant Town,72,24,1095,1431,40679,5574,7319,16950,59270,39200
Truman State University,Public,Great Plains,Remote Town,72,28,1243,5482,19689,8626,7038,17500,80910,38000
Tusculum College,Private,Southeast,Distant Town,72,21,961,1844,32783,3596,4906,20070,41744.5,34900
University of Massachusetts-Dartmouth,Public,New England,Mid-size Suburb,72,23,1061,7202,23763,10528,10405,19500,69531.5,41100
University of North Carolina at Pembroke,Public,Southeast,Distant Town,72,20,926,5184,15784,7001,6516,13260,36289.5,30500
University of Wisconsin-La Crosse,Public,Great Lakes,Small City,72,25,1130,9335,17896,6370,6650,18428.5,81510.5,40400
Westminster College,Private,Great Plains,Distant Town,72,24,1090,1022,33354,5656,5781,20000,64767,35400
Winthrop University,Public,Southeast,Small City,72,22,1030,4704,24595,8527,7223,19976,56621.5,33100
Biola University,Private,Far West,Large Suburb,73,25,1123,4324,44573,10435,8924,19688,71594,37600
Canisius College,Private,Mid Atlantic,Large City,73,25,1101,2858,42796,8788,7530,20000,78118,40800
College of Mount Saint Vincent,Private,Mid Atlantic,Large City,73,20,919,1635,37738,8295,8049,25000,53055.5,46500
Fairleigh Dickinson University-Metropolitan Campus,Private,Mid Atlantic,Large Suburb,73,0,985,3915,43227,7217,8296,18750,57373,42700
Hope College,Private,Great Lakes,Small City,73,27,1204,3296,38593,9281,7591,25000,91493,39700
Houston Baptist University,Private,Southwest,Large City,73,24,1075,2165,36095,7357,6504,12500,34306,41700
Inter American University of Puerto Rico-Guayama,Private,Outlying Areas,Small City,73,0,0,2054,11944,2423,4294,7250,13417.5,17500
Lawrence University,Private,Great Lakes,Small City,73,0,0,1517,50570,15429,7545,27000,91379,35800
Maryville College,Private,Southeast,Large Suburb,73,24,1068,1139,41481,7181,6508,19000,61945.5,32700
Molloy College,Private,Mid Atlantic,Large Suburb,73,23,1054,3322,36702,12758,8716,25000,58419,53600
Northeastern State University,Public,Southwest,Remote Town,73,21,970,7215,13296,7338,5721,12500,28559,33000
Northern Michigan University,Public,Great Lakes,Remote Town,73,22,1030,7959,18466,6506,7442,14601,57707,30800
Ohio University-Main Campus,Public,Great Lakes,Distant Town,73,24,1104,23331,23605,9768,8294,14457,62815,35800
Ringling College of Art and Design,Private,Southeast,Small City,73,0,0,1253,54676,17295,8143,27000,65362.5,30900
Roanoke College,Private,Southeast,Mid-size Suburb,73,24,1086,1980,48559,10452,7327,24000,89451,38700
Roberts Wesleyan College,Private,Mid Atlantic,Large Suburb,73,23,1046,1302,38826,10436,6293,20432,57714,37600
Seattle University,Private,Far West,Large City,73,27,1175,4595,50610,15139,9051,24000,59408,49500
Southern Oregon University,Public,Far West,Mid-size Suburb,73,0,1020,4436,18285,7477,7096,18166,40096.5,32700
The College of Saint Scholastica,Private,Great Plains,Small City,73,24,1085,2858,40685,7878,6904,19310.5,63879,46300
The University of Texas at San Antonio,Public,Southwest,Large City,73,23,1050,23840,18936,6338,9272,16490,38470,39700
University of Baltimore,Public,Mid Atlantic,Large City,73,0,940,3479,24835,8243,9786,16000,31331,49700
University of Cincinnati-Main Campus,Public,Great Lakes,Large City,73,25,1141,23360,25799,10476,9079,15000,50863,36200
University of Great Falls,Private,Rocky Mountains,Small City,73,0,0,1032,31310,3952,4857,13554,31885,29800
University of Puerto Rico-Mayaguez,Public,Outlying Areas,Small City,73,0,0,10697,14726,8372,6533,5500,22433.5,0
University of South Carolina-Beaufort,Public,Southeast,Fringe Town,73,20,932,1716,19354,6114,6410,11000,34946,28700
